totaal(deaths)	crew(deaths)	passenger(deaths)	ground(deaths)	notes(deaths)	type	incident	aircraft	location	phase	airport	distance	date
1700	11	81	1600	†	INH	American Airlines Flight 11	Boeing 767-223ER	usnewyneNew York City, US	ENR [10]			9/11/2001
1000	9	56	900	†	INH	United Airlines Flight 175	Boeing 767-222	usnewyneNew York City, US	ENR [11]			9/11/2001
583	23	560	0		COM	Pan Am Flight 1736 and KLM Flight 4805	Boeing 747-121 and Boeing 747-206B	spctTenerife, Spain	TXI [9][16][17]	TFN		3/27/1977
520	15	505	0		COM	Japan Airlines Flight 123	Boeing 747SR-46	juUeno, Japan	ENR [18][19]			8/12/1985
349	33	316	0	†	COM	Saudi Arabian Flight 763 and Kazakhstan Airlines Flight 1907	Boeing 747-168B and Ilyushin Il-76TD	indicCharkhi Dadri, India	ENR [20][21]			11/12/1996
346	11	335	0	†	COM	Turkish Airlines Flight 981	McDonnell Douglas DC-10-10	frafFontaine-Chaalis, France	ENR [22][23] [24]			3/3/1974
329	22	307	0	†	INB	Air India Flight 182	Boeing 747-237B	aticAtlantic Ocean, area of Cork, Ireland	ENR [25]			6/23/1985
301	14	287	0	†	COM	Saudia Flight 163	Lockheed L-1011-200 TriStar	sarRiyadh, Saudi Arabia	ENR [26]			8/19/1980
298	15	283	0	†	EXG	Malaysia Airlines Flight 17	Boeing 777-2H6ER	irake near Hrabove, Donetsk Oblast, Ukraine	ENR [27]			7/17/2014
290	16	274	0	†	EXG	Iran Air Flight 655	Airbus A300B2-203	irastStrait of Hormuz, off Shib Deraz, Iran	ENR [28]			7/3/1988
275	18	257	0	†	MIL	Iranian Air Force (15-2280)	Ilyushin Il-76MD	irakenear Kerman, Iran	ENR [29]			2/19/2003
273	13	258	2	†	COM	American Airlines Flight 191	McDonnell Douglas DC-10-10	usilidDes Plaines, Illinois, US	TOF [30][31] [32][nb 3]	ORD	1.4 km (0.87 mi)	5/25/1979
270	16	243	11	†	INB	Pan Am Flight 103	Boeing 747-121	unsLockerbie, Scotland, UK	ENR [34]			12/21/1988
269	23	246	0	†	EXS	Korean Air Lines Flight 007	Boeing 747-230B	rumonSea of Japan, near Moneron Island, Soviet Union	ENR [35]			9/1/1983
265	9	251	5	†	COM	American Airlines Flight 587	Airbus A300B4-605R	usnewybBelle Harbor, New York, US	ENR [36][37]			11/12/2001
264	15	249	0		COM	China Airlines Flight 140	Airbus A300B4-622R	jkKomaki, Japan	APR [38][39]	NKM	<0.1 km (0.06 mi)	4/26/1994
261	14	247	0	†	COM	Nigeria Airways Flight 2120	McDonnell Douglas DC-8-61	sajJeddah, Saudi Arabia	APR [40]	JED	2.8 km (1.7 mi)	7/11/1991
257	20	237	0	†	COM	Air New Zealand Flight 901	McDonnell Douglas DC-10-30	antMount Erebus, Antarctica	ENR [32][41]			11/28/1979
256	8	248	0	†	COM	Arrow Air Flight 1285	McDonnell Douglas DC-8-63CF	canneGander, Newfoundland, Canada	ICL [42]	YQX	1 km (0.6 mi)	12/12/1985
239	12	227	0	†	COM	Malaysia Airlines Flight 370	Boeing 777-2H6ER	indoUnknown, possibly Indian Ocean	ENR [43]			3/8/2014
237	0	0	237[44]		COM	African Air (RA-26222)	Antonov An-32B	demkinKinshasa, DR Congo	ICL [45]	NLO	0.6 km (0.4 mi)	1/8/1996
234	12	222	0	†	COM	Garuda Indonesia Flight 152	Airbus A300B4-220	indonmenear Medan, Indonesia	APR [46]	MES	32 km (20 mi)	9/26/1997
230	18	212	0	†	COM	TWA Flight 800	Boeing 747-131	usnewyeAtlantic Ocean, off East Moriches, New York, US	ENR [47][48]			7/17/1996
229	14	215	0	†	COM	Swissair Flight 111	McDonnell Douglas MD-11	cannoAtlantic Ocean, off Peggys Cove, N.S., Canada	ENR [49][50]			9/2/1998
228	12	216	0	†	COM	Air France Flight 447	Airbus A330-203	atAtlantic Ocean, area of Saint Peter and Saint Paul Archipelago	ENR [51]			6/1/2009
228	22	206	0		COM	Korean Air Flight 801	Boeing 747-3B5	usguguaAsan, Guam, US	APR [52][53]	GUM	4.8 km (3 mi)	8/6/1997
225	19	206	0	†	COM	China Airlines Flight 611	Boeing 747-209B	chintpTaiwan Strait, near Penghu Islands, Taiwan	ENR [54]			5/25/2002
224	7	217	0	†	INB	Metrojet Flight 9268	Airbus A321-231	near Hasna, North Sinai Governorate, Egypt	ENR [55]			10/31/2015
223	10	213	0	†	COM	Lauda Air Flight 004	Boeing 767-3Z9ER	thpPhu Toei National Park, Thailand	ENR [56]			5/26/1991
217	15	202	0	†	COM	EgyptAir Flight 990	Boeing 767-366ER	atumAtlantic Ocean, area of Nantucket, Massachusetts, US	ENR [57][nb 4]			10/31/1999
